rank	tax_ID	name_kraken_report	target_name_assay
S1	2697049	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2
S	11320	Influenza A virus	Influenza A
S	211044	Influenza A virus (A/Puerto Rico/8/34(H1N1))	Influenza A
S1	641809	Influenza A virus (A/California/04/2009(H1N1))	Influenza A H1N1 pdm09
S	335341	Influenza A virus (A/New York/348/2003(H1N1))	Influenza A
S	1332244	Influenza A virus (A/Sichuan/1/2009(H1N1))	Influenza A
S1	488241	Influenza A virus (A/Korea/01/2009(H1N1))	Influenza A
S	130760	Influenza A virus (A/New York/18/2003(H1N1))	Influenza A
S	93838	Influenza A virus (A/Puerto Rico/8/34/Mount Sinai(H1N1))	Influenza A
S	11520	Influenza B virus	Influenza B
S	11137	Human coronavirus 229E	Coronavirus 229E
S	290028	Human coronavirus HKU1	Human Coronavirus HKU1
S	277944	Human coronavirus NL63	Human Coronavirus NL63
S	31631	Human coronavirus OC43	Human Coronavirus OC43
null	null	null	Parainfluenza virus 1
null	null	null	Parainfluenza virus 2
null	null	null	Parainfluenza virus 3
S	11224	Human parainfluenza virus 4a	Parainfluenza virus 4
S1	2905673	parainfluenza virus 5	parainfluenza virus 5
S	11250	human respiratory syncytial virus	Respiratory syncytial virus
S	208893	Human respiratory syncytial virus A	Respiratory syncytial virus
S	162145	Human metapneumovirus	Human metapneumovirus
G	12059	Enterovirus	Rhinovirus/Enterovirus
S	147711	Rhinovirus A	Rhinovirus/Enterovirus
S	2104	Mycoplasma pneumoniae	Mycoplasma pneumoniae/ Mesomycoplasma hyopneumoniae
S	520	Bordetella pertussis	Bordetella pertussis
S	83558	Chlamydia pneumoniae	Chlamydophila pneumoniae/ Chlamydia pneumoniae
S	197	Campylobacter jejuni	Campylobacter (C. jejuni, C. coli and C. upsaliensisi)
S	195	Campylobacter coli	Campylobacter (C. jejuni, C. coli and C. upsaliensisi)
S	28080	Campylobacter upsaliensis	Campylobacter (C. jejuni, C. coli and C. upsaliensisi)
null	null	null	Enteroaggregative E. coli (EAEC)
null	null	null	Enteropathogenic E. coli (EPEC)
null	null	null	Shigella/Enteroinvasive Escherichia coli (EIEC)
null	null	null	Shiga-like toxin-producing Escherichia coli (STEC)
null	null	null	Enterotoxigenic Escherichia coli (ETEC) It/st
S	28901	Salmonella enterica	Salmonella
S	54736	Salmonella bongori	Salmonella
G	10509	Mastadenovirus	Adenovirus
S	142786	Norovirus GI	Norovirus GI/GII
G	10912	Rotavirus	Rotavirus A
G	249588	Mamastrovirus	Astrovirus/ Astroviridae
G	5806	Cryptosporidium	Cryptosporidium
S	5807	Cryptosporidium parvum	Cryptosporidium
null	null	null	Cyclospora cayetanensis
null	null	null	Entamoeba histolytica
S	5741	Giardia duodenalis	Giardia lamblia
S	666	Vibrio cholerae	Vibrio cholerae
S	630	Yersinia enterocolitica	Yersinia enterocolitica
S	703	Plesiomonas shigelloides	Plesiomonas shigelloides
